iter	Passed	Remaining
216	18564	24210
217	18642	24115
218	18717	24016
219	18810	23941
220	18889	23847
221	18971	23756
222	19057	23671
223	19155	23602
224	19236	23511
225	19308	23408
226	19405	23338
227	19485	23246
228	19568	23158
229	19660	23080
230	19745	22993
231	19823	22900
232	19904	22809
233	19980	22712
234	20055	22615
235	20133	22521
236	20211	22429
237	20307	22355
238	20397	22274
239	20461	22166
240	20534	22068
241	20641	22005
242	20724	21918
243	20810	21833
244	20883	21735
245	20968	21650
246	21062	21573
247	21125	21465
248	21194	21364
249	21274	21274
250	21348	21178
251	21446	21106
252	21519	21008
253	21605	20925
254	21686	20835
255	21756	20736
256	21860	20670
257	21945	20584
258	22035	20503
259	22110	20409
260	22193	20322
261	22265	20225
262	22343	20134
263	22427	20049
264	22493	19947
265	22556	19843
266	22631	19749
267	22730	19677
268	22805	19583
269	22883	19493
270	22996	19432
271	23078	19344
272	23158	19255
273	23255	19181
274	23336	19093
275	23410	18999
276	23486	18907
277	23558	18812
278	23646	18730
279	23723	18639
280	23805	18552
281	23874	18456
282	23934	18352
283	24013	18263
284	24093	18175
285	24172	18087
286	24245	17993
287	24335	17913
288	24432	17838
289	24526	17760
290	24620	17683
291	24697	17592
292	24771	17500
293	24845	17408
294	24916	17314
295	24993	17224
296	25089	17148
297	25165	17058
298	25243	16969
299	25320	16880
300	25416	16803
301	25496	16716
302	25565	16621
303	25641	16531
304	25728	16449
305	25817	16367
306	25884	16272
307	25958	16181
308	26041	16096
309	26106	16001
310	26186	15913
311	26253	15819
312	26335	15734
313	26426	15653
314	26505	15566
315	26584	15479
316	26666	15394
317	26734	15300
318	26809	15211
319	26916	15140
320	26995	15053
321	27081	14970
322	27166	14886
323	27244	14799
324	27320	14710
325	27393	14621
326	27492	14545
327	27575	14460
328	27664	14378
329	27750	14295
330	27827	14208
331	27906	14121
332	27995	14039
333	28068	13950
334	28146	13863
335	28236	13782
336	28314	13695
337	28389	13606
338	28462	13517
339	28544	13432
340	28638	13353
341	28718	13267
342	28791	13178
343	28887	13099
344	28967	13014
345	29032	12922
346	29108	12834
347	29179	12745
348	29251	12656
349	29328	12569
350	29418	12488
351	29503	12404
352	29587	12320
353	29659	12232
354	29727	12142
355	29804	12055
356	29898	11976
357	29998	11898
358	30101	11822
359	30187	11739
360	30262	11652
361	30332	11563
362	30413	11478
363	30489	11391
364	30562	11303
365	30629	11214
366	30700	11125
367	30768	11036
368	30848	10951
369	30925	10865
370	31037	10792
371	31119	10707
372	31195	10621
373	31263	10532
374	31342	10447
375	31440	10368
376	31520	10283
377	31612	10202
378	31708	10123
379	31807	10044
380	31909	9966
381	32007	9886
382	32084	9801
383	32165	9716
384	32239	9630
385	32320	9545
386	32398	9459
387	32473	9373
388	32555	9289
389	32632	9203
390	32700	9115
391	32772	9029
392	32868	8948
393	32952	8865
394	33034	8781
395	33127	8700
396	33227	8620
397	33303	8535
398	33384	8450
399	33467	8366
400	33553	8283
401	33638	8200
402	33738	8120
403	33824	8037
404	33910	7954
405	33992	7870
406	34067	7784
407	34145	7699
408	34221	7614
409	34312	7531
410	34386	7446
411	34455	7359
412	34553	7278
413	34634	7194
414	34717	7110
415	34808	7028
416	34879	6942
417	34955	6857
418	35047	6775
419	35126	6690
420	35192	6603
421	35274	6519
422	35350	6434
423	35446	6353
424	35524	6269
425	35614	6186
426	35689	6101
427	35775	6018
428	35841	5931
429	35918	5847
430	36001	5763
431	36070	5677
432	36137	5591
433	36218	5507
434	36280	5421
435	36373	5339
436	36460	5256
437	36544	5172
438	36610	5087
439	36691	5003
440	36767	4918
441	36845	4834
442	36940	4753
443	37014	4668
444	37081	4583
445	37170	4500
446	37244	4415
447	37312	4330
448	37402	4248
449	37480	4164
450	37571	4082
451	37644	3997
452	37717	3913
453	37792	3829
454	37882	3746
455	37962	3663
456	38040	3579
457	38111	3494
458	38186	3410
459	38261	3327
460	38345	3243
461	38487	3165
462	38592	3084
463	38687	3001
464	38782	2919
465	38870	2836
466	38964	2753
467	39048	2670
468	39122	2585
469	39220	2503
470	39293	2419
471	39374	2335
472	39456	2252
473	39549	2169
474	39636	2086
475	39707	2002
476	39780	1918
477	39857	1834
478	39940	1751
479	40035	1668
480	40121	1584
481	40189	1500
482	40267	1417
483	40346	1333
484	40417	1250
485	40501	1166
486	40572	1083
487	40636	999
488	40706	915
489	40783	832
490	40870	749
491	40945	665
492	41016	582
493	41090	499
494	41168	415
495	41253	332
496	41332	249
497	41407	166
498	41493	83
499	41570	0
